contract,method,source_method_label,mr_count,source_role,source_path,source_locator,source_sha256
MyToken,manual,人工构造,7,supplied_office,实验数据origin/对比方法构造的蜕变关系.xls,Sheet1!R2C2,ac7f4494771c987dbcc4b1905c448633f764c9e47044d1025c9936293710f327
MyToken,vulnerability_oriented,面向漏洞,5,supplied_office,实验数据origin/对比方法构造的蜕变关系.xls,Sheet1!R2C3,ac7f4494771c987dbcc4b1905c448633f764c9e47044d1025c9936293710f327
MyToken,object_oriented,面向对象程序,9,supplied_office,实验数据origin/对比方法构造的蜕变关系.xls,Sheet1!R2C4,ac7f4494771c987dbcc4b1905c448633f764c9e47044d1025c9936293710f327
MyToken,mpsc,BSVPMR,38,supplied_office,实验数据origin/对比方法构造的蜕变关系.xls,Sheet1!R2C5,ac7f4494771c987dbcc4b1905c448633f764c9e47044d1025c9936293710f327
Rubixi,manual,人工构造,9,supplied_office,实验数据origin/对比方法构造的蜕变关系.xls,Sheet1!R3C2,ac7f4494771c987dbcc4b1905c448633f764c9e47044d1025c9936293710f327
Rubixi,vulnerability_oriented,面向漏洞,6,supplied_office,实验数据origin/对比方法构造的蜕变关系.xls,Sheet1!R3C3,ac7f4494771c987dbcc4b1905c448633f764c9e47044d1025c9936293710f327
Rubixi,object_oriented,面向对象程序,15,supplied_office,实验数据origin/对比方法构造的蜕变关系.xls,Sheet1!R3C4,ac7f4494771c987dbcc4b1905c448633f764c9e47044d1025c9936293710f327
Rubixi,mpsc,BSVPMR,59,supplied_office,实验数据origin/对比方法构造的蜕变关系.xls,Sheet1!R3C5,ac7f4494771c987dbcc4b1905c448633f764c9e47044d1025c9936293710f327
BecToken,manual,人工构造,10,supplied_office,实验数据origin/对比方法构造的蜕变关系.xls,Sheet1!R4C2,ac7f4494771c987dbcc4b1905c448633f764c9e47044d1025c9936293710f327
BecToken,vulnerability_oriented,面向漏洞,4,supplied_office,实验数据origin/对比方法构造的蜕变关系.xls,Sheet1!R4C3,ac7f4494771c987dbcc4b1905c448633f764c9e47044d1025c9936293710f327
BecToken,object_oriented,面向对象程序,16,supplied_office,实验数据origin/对比方法构造的蜕变关系.xls,Sheet1!R4C4,ac7f4494771c987dbcc4b1905c448633f764c9e47044d1025c9936293710f327
BecToken,mpsc,BSVPMR,102,supplied_office,实验数据origin/对比方法构造的蜕变关系.xls,Sheet1!R4C5,ac7f4494771c987dbcc4b1905c448633f764c9e47044d1025c9936293710f327
GnosisSafeProxy,manual,人工构造,9,supplied_office,实验数据origin/对比方法构造的蜕变关系.xls,Sheet1!R5C2,ac7f4494771c987dbcc4b1905c448633f764c9e47044d1025c9936293710f327
GnosisSafeProxy,vulnerability_oriented,面向漏洞,1,supplied_office,实验数据origin/对比方法构造的蜕变关系.xls,Sheet1!R5C3,ac7f4494771c987dbcc4b1905c448633f764c9e47044d1025c9936293710f327
GnosisSafeProxy,object_oriented,面向对象程序,12,supplied_office,实验数据origin/对比方法构造的蜕变关系.xls,Sheet1!R5C4,ac7f4494771c987dbcc4b1905c448633f764c9e47044d1025c9936293710f327
GnosisSafeProxy,mpsc,BSVPMR,66,supplied_office,实验数据origin/对比方法构造的蜕变关系.xls,Sheet1!R5C5,ac7f4494771c987dbcc4b1905c448633f764c9e47044d1025c9936293710f327
PERSONAL_BANK,manual,人工构造,7,supplied_office,实验数据origin/对比方法构造的蜕变关系.xls,Sheet1!R6C2,ac7f4494771c987dbcc4b1905c448633f764c9e47044d1025c9936293710f327
PERSONAL_BANK,vulnerability_oriented,面向漏洞,6,supplied_office,实验数据origin/对比方法构造的蜕变关系.xls,Sheet1!R6C3,ac7f4494771c987dbcc4b1905c448633f764c9e47044d1025c9936293710f327
PERSONAL_BANK,object_oriented,面向对象程序,10,supplied_office,实验数据origin/对比方法构造的蜕变关系.xls,Sheet1!R6C4,ac7f4494771c987dbcc4b1905c448633f764c9e47044d1025c9936293710f327
PERSONAL_BANK,mpsc,BSVPMR,37,supplied_office,实验数据origin/对比方法构造的蜕变关系.xls,Sheet1!R6C5,ac7f4494771c987dbcc4b1905c448633f764c9e47044d1025c9936293710f327
