mutant_index,mr_id,detected_executions,total_executions,detection_rate,source_role,source_path,source_locator,source_sha256
0,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N2,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
0,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O2,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
0,MR6.1,6,10,0.6,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y2,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
0,MR6.5,7,10,0.7,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC2,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
1,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N3,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
1,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O3,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
1,MR6.1,10,10,1.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y3,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
1,MR6.5,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC3,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
2,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N4,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
2,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O4,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
2,MR6.1,7,10,0.7,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y4,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
2,MR6.5,2,10,0.2,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC4,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
3,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N5,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
3,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O5,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
3,MR6.1,6,10,0.6,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y5,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
