scenario_id,tau_c,min_set_size,optimized_size,optimized_mrs,removed_mrs,stop_reason
S01,0.0,1,3,MR6.1;MR6.4;MR6.6,,combined_score_threshold
S02,0.0,2,3,MR6.1;MR6.4;MR6.6,,combined_score_threshold
S03,0.0,3,3,MR6.1;MR6.4;MR6.6,,min_set_size
S04,0.25,1,3,MR6.1;MR6.4;MR6.6,,combined_score_threshold
S05,0.25,2,3,MR6.1;MR6.4;MR6.6,,combined_score_threshold
S06,0.25,3,3,MR6.1;MR6.4;MR6.6,,min_set_size
S07,0.4,1,3,MR6.1;MR6.4;MR6.6,,combined_score_threshold
S08,0.4,2,3,MR6.1;MR6.4;MR6.6,,combined_score_threshold
S09,0.4,3,3,MR6.1;MR6.4;MR6.6,,min_set_size
S10,0.4166666666666666,1,3,MR6.1;MR6.4;MR6.6,,combined_score_threshold
S11,0.4166666666666666,2,3,MR6.1;MR6.4;MR6.6,,combined_score_threshold
S12,0.4166666666666666,3,3,MR6.1;MR6.4;MR6.6,,min_set_size
S13,0.4166666666666667,1,2,MR6.4;MR6.6,MR6.1,combined_score_threshold
S14,0.4166666666666667,2,2,MR6.4;MR6.6,MR6.1,min_set_size
S15,0.4166666666666667,3,3,MR6.1;MR6.4;MR6.6,,min_set_size
S16,0.45,1,2,MR6.4;MR6.6,MR6.1,combined_score_threshold
S17,0.45,2,2,MR6.4;MR6.6,MR6.1,min_set_size
S18,0.45,3,3,MR6.1;MR6.4;MR6.6,,min_set_size
S19,0.5,1,2,MR6.4;MR6.6,MR6.1,combined_score_threshold
S20,0.5,2,2,MR6.4;MR6.6,MR6.1,min_set_size
S21,0.5,3,3,MR6.1;MR6.4;MR6.6,,min_set_size
S22,0.5000000000000001,1,1,MR6.6,MR6.1;MR6.4,min_set_size
S23,0.5000000000000001,2,2,MR6.4;MR6.6,MR6.1,min_set_size
S24,0.5000000000000001,3,3,MR6.1;MR6.4;MR6.6,,min_set_size
S25,0.75,1,1,MR6.6,MR6.1;MR6.4,min_set_size
S26,0.75,2,2,MR6.4;MR6.6,MR6.1,min_set_size
S27,0.75,3,3,MR6.1;MR6.4;MR6.6,,min_set_size
S28,1.0,1,1,MR6.6,MR6.1;MR6.4,min_set_size
S29,1.0,2,2,MR6.4;MR6.6,MR6.1,min_set_size
S30,1.0,3,3,MR6.1;MR6.4;MR6.6,,min_set_size
